Host,ID,Mstar,Mgas,Mvir,Rvir,tquench,tinfall,tau
h148,13,104.4,7.5,94.2,65.9,4.8,6.0,1.2
h148,28,84.2,103.1,34.7,47.3,0.7,7.3,6.6
h148,36,3.7,0.0,29.6,44.8,3.2,3.4,0.2
h148,37,5.8,58.9,28.6,44.3,0.3,4.7,4.5
h148,45,13.7,0.0,19.1,38.7,3.8,6.5,2.6
h148,48,0.1,0.0,19.2,38.8,1.5,1.7,0.2
h148,68,2.8,5.3,13.7,35.2,1.1,5.6,4.5
h148,127,0.4,0.0,5.4,25.4,2.7,3.0,0.3
h148,163,3.6,0.0,3.5,22.1,9.2,9.5,0.3
h148,278,2.2,0.0,1.9,14.7,6.5,6.9,0.4
h148,283,2.1,0.0,1.9,19.3,4.1,5.6,1.5
h148,329,4.0,0.0,1.5,16.8,9.3,9.5,0.3
h242,24,13.7,0.0,41.4,50.1,3.2,5.7,2.5
h242,41,1.8,0.0,21.9,40.5,1.5,2.5,1.0
h242,80,23.5,13.4,8.8,29.9,0.7,5.2,4.5
h242,439,7.7,0.0,0.9,14.0,9.6,9.6,0.0
h229,20,3.3,27.4,26.2,43.0,0.3,5.4,5.0
h229,22,77.1,0.0,15.3,35.9,5.2,9.6,4.4
h229,23,0.9,0.7,21.1,40.0,5.1,6.4,1.2
h229,27,4.8,0.0,15.8,36.4,5.9,6.8,0.8
h229,55,6.8,0.0,7.7,28.7,4.1,5.7,1.6
h229,73,2.7,0.0,5.6,15.1,4.2,4.4,0.2
h329,31,0.1,0.0,15.7,36.2,2.6,3.0,0.4
h329,33,1.5,0.0,15.3,35.9,5.1,5.4,0.3
h329,137,3.1,0.0,2.4,20.1,8.9,8.9,0.0
